date,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_pvax,cases_fvax,cases_child,cases_adolescent,cases_adult,cases_elderly,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace,cumul_partial,cumul_full
6/5/2022,3551,16,2709,33633,924,44,22,383,240,2501,411,0,58,121,9,195,3,360,1034601,656490
7/5/2022,4498,5,3449,34651,1132,61,18,626,369,2982,498,0,110,213,2,168,4,376,1066841,671935
8/5/2022,4519,5,2719,36422,993,52,16,502,303,3044,521,0,91,124,5,67,10,433,1085456,680334
9/5/2022,3733,6,3211,36923,856,43,25,445,236,2610,405,0,54,143,8,83,4,378,1111260,686918
10/5/2022,3807,5,3454,37241,782,63,22,465,295,2538,484,0,129,216,0,84,1,210,1147890,711703
11/5/2022,3973,5,2848,38322,1001,46,32,453,294,2782,415,0,90,137,18,207,0,181,1178347,730106
12/5/2022,4765,7,3124,39913,1004,61,26,474,318,3359,570,0,38,169,4,137,46,382,1188651,737918
13/5/2022,4855,3,3347,41383,1062,77,29,471,483,3295,561,0,69,180,3,255,0,323,1188762,737925
14/5/2022,4113,1,4190,41262,994,89,24,469,268,2757,574,0,111,215,28,52,0,383,1188823,737932
15/5/2022,4140,9,3432,41922,999,92,34,456,229,2790,589,0,169,179,13,57,29,397,1199126,738524
16/5/2022,3780,2,3990,41668,914,80,25,418,268,2564,501,0,158,111,3,49,0,262,1209105,738851
17/5/2022,4446,3,2784,43279,852,85,33,438,311,2997,662,0,131,203,7,74,0,230,1241538,766959
18/5/2022,4865,5,3497,44589,867,87,47,538,326,3345,637,0,158,182,6,74,0,181,1287207,799249
19/5/2022,6075,3,3516,47096,1547,101,64,625,384,4230,761,0,267,193,1,107,0,687,1337271,833268
20/5/2022,6806,2,3916,49940,1594,117,73,686,476,4760,815,0,359,230,16,158,0,527,1396393,855175
21/5/2022,6493,2,4508,51865,1243,106,88,706,420,4569,742,0,310,149,1,75,2,362,1438560,873946
22/5/2022,6320,3,4694,53407,1318,127,84,799,433,4183,809,0,240,230,25,38,0,365,1481742,877124
23/5/2022,6976,9,3587,56727,1586,135,100,878,446,4612,879,0,336,317,15,50,6,422,1519679,885491
24/5/2022,6509,26,3452,59718,1481,117,92,810,477,4482,679,19,244,310,25,45,12,505,1589249,911513
25/5/2022,7289,4,3789,63144,1388,130,96,956,537,4939,811,0,278,312,43,43,0,367,1658814,942203
26/5/2022,7478,5,4665,65866,1288,125,107,972,497,5113,808,0,259,234,5,63,0,411,1679108,944102
